   ,deal_id                              ,deal_start_ts       ,applicant_name     ,applicant_email               ,applicant_address                  ,applicant_phone_number ,deal_amount ,status    ,deal_end_ts
 0 ,32eca549-c0e3-453d-946a-e2f9b42a0c61 ,2020-04-02 17:00:27 ,Michael Romero     ,nicholas86@example.net        ,"396 Bradford Parkways
                                                                                                                  Erneststad, GA 26478"              ,959-512-5854x2977      ,      37557 ,complete  ,
 1 ,e3c6be1e-3c9b-4807-b46b-80a2107ff17f ,2021-08-02 04:26:02 ,Gregory Burke      ,cody83@example.net            ,"245 Potter Unions
                                                                                                                  Danielbury, RI 40336"              ,321-978-1798x41172     ,      41679 ,complete   ,
 2 ,ff2fe4ba-4255-412f-b830-979165513815 ,2022-11-15 03:51:47 ,Tina Morgan        ,bwood@example.net             ,"22452 White Rest Suite 460
                                                                                                                  Loganmouth, OR 84052"              ,+1-229-587-7472x4332   ,      67314 ,cancelled ,9999-12-31
 3 ,a24471a9-edf6-43d8-8b94-ce72da231002 ,2020-10-17 08:23:45 ,Brenda Salinas     ,psmith@example.net            ,"USNS Porter
                                                                                                                  FPO AA 32578"                      ,+1-517-951-8543x934    ,      99454 ,pending   ,9999-12-31
 4 ,dad6327d-4e9c-4831-a2b5-12134b9eb3f0 ,2022-07-30 03:03:36 ,Mark Brooks        ,cynthiamcbride@example.net    ,"051 Brown Groves
                                                                                                                  New Kiaraborough, PW 44452"        ,825.625.8211           ,      26017 ,cancelled   ,
 5 ,b95a7f11-d3c4-4cce-90ac-82d279007da8 ,2020-07-21 20:19:56 ,Heather Gutierrez  ,tdavidson@example.com         ,"8558 Harris Spurs
                                                                                                                  Wardport, VT 55228"                ,001-717-254-2681       ,      47361 ,complete  ,
 6 ,12685379-13b0-4e70-96cf-2baf5ed5695a ,2021-07-10 07:23:04 ,Amy Conway         ,villanuevaronald@example.com  ,"290 Joseph Overpass Apt. 413
                                                                                                                  Beasleybury, WY 54563"             ,(491)416-0860          ,       4417 ,pending   ,
 7 ,b541cd38-b23d-48ff-b515-891d7a49d078 ,2023-05-03 22:50:33 ,Amber Rasmussen    ,aimee83@example.net           ,"PSC 0250, Box 0354
                                                                                                                  APO AE 64995"                      ,001-498-891-6019x080   ,      37259 ,cancelled ,9999-12-31
 8 ,8918fde2-8939-4557-a169-55d34cc5be36 ,2023-01-05 20:30:03 ,Jennifer Hamilton  ,xdecker@example.org           ,"2548 John Villages Suite 787
                                                                                                                  Reyeschester, PA 76019"            ,222.690.4720x201       ,      96923 ,complete  ,9999-12-31
 9 ,86de8b6c-8b61-4123-b07c-dedb874b6441 ,2022-03-21 16:06:17 ,Jamie Long         ,george29@example.org          ,"88154 Vasquez Pine
                                                                                                                  North Krystal, TX 49777"           ,001-271-981-8062x96099 ,      84645 ,pending   ,9999-12-31
10 ,10400550-9719-48fc-af97-09f265478e55 ,2023-02-12 04:28:20 ,Paul Rivera        ,cford@example.org             ,"42861 Earl Pass Apt. 709
                                                                                                                  Zhangmouth, MT 69177"              ,4569362309             ,      15894 ,complete  ,
11 ,b6b256bf-f10d-4f53-9c40-f4b828306e47 ,2021-03-15 17:00:14 ,Michael Morales    ,zcameron@example.org          ,"681 Sharon Mountains Apt. 117
                                                                                                                  Christophermouth, DE 73328"        ,277.809.8449           ,      11731 ,pending   ,
12 ,d31a1e19-5832-419e-8e59-ff795796d302 ,2023-05-23 12:59:21 ,Hannah Thompson    ,martinkristen@example.net     ,"8702 Bobby Islands Suite 643
                                                                                                                  Taylorfort, MD 81393"              ,(203)643-5990          ,      53878 ,cancelled ,
13 ,6b9ff541-ecba-4092-9ca8-ceb9db95a620 ,2021-12-21 12:30:05 ,Tracey Smith       ,rodriguezjohn@example.net     ,"65027 Molly Meadow Suite 660
                                                                                                                  Hursthaven, MH 50335"              ,+1-726-289-2238x2968   ,      78142 ,pending   ,
14 ,25e5a994-b352-4260-809a-8239dd6a5e48 ,2022-09-16 09:16:53 ,Sierra Pope        ,stephanierowe@example.com     ,"113 Horne Brook
                                                                                                                  South Franciscoton, VI 45700"      ,616-372-5322           ,       6109 ,cancelled ,9999-12-31
15 ,c21e6eeb-6697-49f5-ae46-3be78900e084 ,2020-12-20 03:15:52 ,Carrie Cortez      ,greencarl@example.com         ,"5405 Ellis Club
                                                                                                                  New Kelly, AS 89819"               ,693-773-3129           ,      28750 ,complete  ,9999-12-31
16 ,92dbe7e7-b6cf-44c4-9fc3-8dfb4c0ac369 ,2021-05-23 15:19:00 ,Donald Wong        ,joseph96@example.net          ,"248 Torres Pines Suite 939
                                                                                                                  Lewisfurt, NC 29662"               ,+1-373-447-9562x784    ,      80195 ,pending   ,9999-12-31
17 ,9d5dc9ce-fb9a-445d-8735-0a5d226b83ba ,2020-08-23 00:09:38 ,Krista Cook        ,epierce@example.org           ,"272 Diana Locks
                                                                                                                  North Williamborough, WY 13758"    ,446.496.1997           ,      83504 ,complete  ,
18 ,2975d662-eb23-4655-a3f8-f92ee55bbc6d ,2021-09-10 17:31:31 ,Kevin Winters      ,davidstout@example.com        ,"597 Jason Stravenue Suite 196
                                                                                                                  West Barbaraborough, VT 90854"     ,(561)930-6989          ,      86153 ,pending   ,9999-12-31
19 ,ebbbad9e-4179-4232-9abe-08e8787a238a ,2023-09-11 18:48:19 ,Michael Ross       ,kweber@example.net            ,"298 Roberts Locks
                                                                                                                  New Sean, MO 06162"                ,001-639-319-2474x53247 ,      48572 ,cancelled ,
